Designator,Comment,Parameter 1,nBlocksParameter1,Parameter 2,nBlocksParameter2,Parameter 3,nBlocksParameter3,ComponentLink1URL

"N1","Ticker","","1000","","","","","https://github.com/nBlocksStudioNodes/nblocks_ticker"
"N2","Counter","AutoResetValue","10","","","","","https://github.com/nBlocksStudioNodes/nblocks_counter"
"N3","StringFormat","formatString","""Distance = %d cm\n ""","","","","","https://github.com/nBlocksStudioNodes/nblocks_stringformat"
"N4","OLEDisplay","pinSDA","p28","pinSCL","p27","pinRST","NC","https://github.com/nBlocksStudioNodes/nblocks_oledisplay"
